"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.66656039989164,0.67591565353688,0.694527383357655,49615.3,0.95,0.415827292592901,0.909907286124845,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.363955154165829,0.354449353166505,0.332102140583573,50000,0.95,0.10726182705526,0.637137892378243,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.30260524572581,0.312249159753687,0.348288752908612,50000,0.95,-0.0750888375450017,0.666035000066111,0,93.5,NA,NA,NA,NA,NA
